"","Date","Plot","Row","Column","Species","Coverage","Root","CO2Treatment","Ntreatment"
"1","7/3/2019",64,1,1,"Andge",70,"R","AC","EN"
"2","7/3/2019",64,1,1,"Poapr",10,"R","AC","EN"
"3","7/3/2019",64,1,2,"Andge",20,"R","AC","EN"
"4","7/3/2019",64,1,3,"Andge",10,"R","AC","EN"
"5","7/3/2019",64,1,3,"Poapr",5,"R","AC","EN"
"6","7/3/2019",64,1,4,"Andge",40,"R","AC","EN"
"7","7/3/2019",64,1,4,"Poapr",5,"R","AC","EN"
"8","7/3/2019",64,1,5,"Andge",40,"R","AC","EN"
"9","7/3/2019",64,1,5,"Poapr",5,"R","AC","EN"
"10","7/3/2019",64,1,6,"Andge",50,"R","AC","EN"
"11","7/3/2019",64,1,6,"Poapr",5,"R","AC","EN"
"12","7/3/2019",64,1,6,"Agrre",5,"R","AC","EN"
"13","7/3/2019",64,1,7,"Luppe",80,"R","AC","EN"
"14","7/3/2019",64,1,7,"Andge",10,"R","AC","EN"
"15","7/3/2019",64,1,7,"Agrre",5,"R","AC","EN"
"16","7/3/2019",64,1,8,"Luppe",90,"N","AC","EN"
"17","7/3/2019",64,1,8,"Agrre",5,"R","AC","EN"
"18","7/3/2019",64,1,8,"Poapr",5,"R","AC","EN"
"19","7/3/2019",64,1,9,"Luppe",90,"N","AC","EN"
"20","7/3/2019",64,1,9,"Andge",10,"R","AC","EN"
"21","7/3/2019",64,1,9,"Poapr",5,"R","AC","EN"
"22","7/3/2019",64,1,10,"Luppe",60,"N","AC","EN"
"23","7/3/2019",64,1,10,"Poapr",20,"R","AC","EN"
"24","7/3/2019",64,1,11,"Andge",10,"R","AC","EN"
"25","7/3/2019",64,1,11,"Poapr",5,"R","AC","EN"
"26","7/3/2019",64,1,12,"Andge",40,"R","AC","EN"
"27","7/3/2019",64,1,12,"Poapr",5,"R","AC","EN"
"28","7/3/2019",64,1,12,"Agrre",5,"R","AC","EN"
"29","7/3/2019",64,1,13,"Andge",40,"R","AC","EN"
"30","7/3/2019",64,1,13,"Poapr",20,"R","AC","EN"
"31","7/3/2019",64,1,14,"Luppe",20,"N","AC","EN"
"32","7/3/2019",64,1,14,"Poapr",10,"R","AC","EN"
"33","7/3/2019",64,1,15,"Poapr",30,"R","AC","EN"
"34","7/3/2019",64,1,16,"Agrre",10,"R","AC","EN"
"35","7/3/2019",64,1,16,"Poapr",40,"R","AC","EN"
"36","7/3/2019",64,1,17,"Agrre",20,"R","AC","EN"
"37","7/3/2019",64,1,17,"Poapr",30,"R","AC","EN"
"38","7/3/2019",64,1,18,"Agrre",10,"R","AC","EN"
"39","7/3/2019",64,1,18,"Poapr",70,"R","AC","EN"
"40","7/3/2019",64,2,1,"Andge",80,"R","AC","EN"
"41","7/3/2019",64,2,1,"Poapr",10,"R","AC","EN"
"42","7/3/2019",64,2,2,"Andge",60,"R","AC","EN"
"43","7/3/2019",64,2,2,"Poapr",10,"R","AC","EN"
"44","7/3/2019",64,2,3,"Andge",50,"R","AC","EN"
"45","7/3/2019",64,2,4,"Andge",30,"R","AC","EN"
"46","7/3/2019",64,2,4,"Poapr",10,"R","AC","EN"
"47","7/3/2019",64,2,4,"Asctu",5,"N","AC","EN"
"48","7/3/2019",64,2,5,"Asctu",30,"N","AC","EN"
"49","7/3/2019",64,2,5,"Andge",10,"R","AC","EN"
"50","7/3/2019",64,2,6,"Poapr",5,"R","AC","EN"
"51","7/3/2019",64,2,7,"Luppe",90,"R","AC","EN"
"52","7/3/2019",64,2,7,"Andge",5,"R","AC","EN"
"53","7/3/2019",64,2,8,"Luppe",90,"R","AC","EN"
"54","7/3/2019",64,2,8,"Andge",5,"R","AC","EN"
"55","7/3/2019",64,2,8,"Poapr",5,"R","AC","EN"
"56","7/3/2019",64,2,9,"Luppe",90,"R","AC","EN"
"57","7/3/2019",64,2,9,"Andge",5,"R","AC","EN"
"58","7/3/2019",64,2,10,"Luppe",60,"N","AC","EN"
"59","7/3/2019",64,2,11,"Luppe",30,"N","AC","EN"
"60","7/3/2019",64,2,11,"Agrre",5,"R","AC","EN"
"61","7/3/2019",64,2,11,"Poapr",30,"R","AC","EN"
"62","7/3/2019",64,2,12,"Poapr",60,"R","AC","EN"
"63","7/3/2019",64,2,12,"Agrre",5,"R","AC","EN"
"64","7/3/2019",64,2,13,"Poapr",10,"R","AC","EN"
"65","7/3/2019",64,2,14,"Poapr",15,"R","AC","EN"
"66","7/3/2019",64,2,15,"Andge",70,"R","AC","EN"
"67","7/3/2019",64,2,16,"Andge",50,"R","AC","EN"
"68","7/3/2019",64,2,16,"Luppe",10,"N","AC","EN"
"69","7/3/2019",64,2,16,"Poapr",10,"R","AC","EN"
"70","7/3/2019",64,2,17,"Andge",20,"R","AC","EN"
"71","7/3/2019",64,2,17,"Agrre",10,"R","AC","EN"
"72","7/3/2019",64,2,17,"Poapr",20,"R","AC","EN"
"73","7/3/2019",64,2,18,"Poapr",60,"R","AC","EN"
"74","7/3/2019",64,2,18,"Agrre",5,"R","AC","EN"
"75","7/3/2019",64,3,1,"Andge",100,"R","AC","EN"
"76","7/3/2019",64,3,2,"Andge",90,"R","AC","EN"
"77","7/3/2019",64,3,3,"Andge",90,"R","AC","EN"
"78","7/3/2019",64,3,3,"Poapr",5,"R","AC","EN"
"79","7/3/2019",64,3,4,"Andge",60,"R","AC","EN"
"80","7/3/2019",64,3,4,"Asctu",10,"N","AC","EN"
"81","7/3/2019",64,3,5,"Andge",20,"R","AC","EN"
"82","7/3/2019",64,3,5,"Asctu",60,"R","AC","EN"
"83","7/3/2019",64,3,6,"Andge",40,"R","AC","EN"
"84","7/3/2019",64,3,7,"Luppe",80,"N","AC","EN"
"85","7/3/2019",64,3,7,"Andge",20,"R","AC","EN"
"86","7/3/2019",64,3,8,"Luppe",90,"R","AC","EN"
"87","7/3/2019",64,3,8,"Andge",10,"R","AC","EN"
"88","7/3/2019",64,3,8,"Agrre",5,"R","AC","EN"
"89","7/3/2019",64,3,9,"Luppe",80,"R","AC","EN"
"90","7/3/2019",64,3,9,"Andge",5,"R","AC","EN"
"91","7/3/2019",64,3,9,"Agrre",10,"R","AC","EN"
"92","7/3/2019",64,3,10,"Luppe",80,"N","AC","EN"
"93","7/3/2019",64,3,10,"Andge",5,"R","AC","EN"
"94","7/3/2019",64,3,11,"Luppe",50,"N","AC","EN"
"95","7/3/2019",64,3,11,"Agrre",5,"R","AC","EN"
"96","7/3/2019",64,3,11,"Poapr",20,"R","AC","EN"
"97","7/3/2019",64,3,12,"Luppe",5,"N","AC","EN"
"98","7/3/2019",64,3,12,"Poapr",30,"R","AC","EN"
"99","7/3/2019",64,3,13,"Poapr",20,"R","AC","EN"
"100","7/3/2019",64,3,13,"Agrre",5,"R","AC","EN"
"101","7/3/2019",64,3,14,"Poapr",20,"R","AC","EN"
"102","7/3/2019",64,3,15,"Poapr",10,"R","AC","EN"
"103","7/3/2019",64,3,15,"Luppe",15,"N","AC","EN"
"104","7/3/2019",64,3,16,"Luppe",70,"N","AC","EN"
"105","7/3/2019",64,3,16,"Andge",20,"R","AC","EN"
"106","7/3/2019",64,3,16,"Poapr",5,"R","AC","EN"
"107","7/3/2019",64,3,17,"Asctu",20,"R","AC","EN"
"108","7/3/2019",64,3,17,"Luppe",20,"N","AC","EN"
"109","7/3/2019",64,3,17,"Poapr",10,"R","AC","EN"
"110","7/3/2019",64,3,18,"Asctu",40,"R","AC","EN"
"111","7/3/2019",64,3,18,"Poapr",30,"R","AC","EN"
"112","7/3/2019",64,4,1,"Andge",90,"R","AC","EN"
"113","7/3/2019",64,4,1,"Lesca",10,"R","AC","EN"
"114","7/3/2019",64,4,2,"Andge",100,"R","AC","EN"
"115","7/3/2019",64,4,3,"Andge",100,"R","AC","EN"
"116","7/3/2019",64,4,4,"Andge",100,"R","AC","EN"
"117","7/3/2019",64,4,5,"Andge",90,"R","AC","EN"
"118","7/3/2019",64,4,5,"Asctu",10,"R","AC","EN"
"119","7/3/2019",64,4,6,"Andge",100,"R","AC","EN"
"120","7/3/2019",64,4,7,"Andge",60,"R","AC","EN"
"121","7/3/2019",64,4,7,"Agrre",5,"R","AC","EN"
"122","7/3/2019",64,4,7,"Luppe",10,"N","AC","EN"
"123","7/3/2019",64,4,8,"Andge",40,"R","AC","EN"
"124","7/3/2019",64,4,8,"Luppe",10,"N","AC","EN"
"125","7/3/2019",64,4,8,"Agrre",5,"R","AC","EN"
"126","7/3/2019",64,4,9,"Andge",10,"R","AC","EN"
"127","7/3/2019",64,4,9,"Luppe",80,"N","AC","EN"
"128","7/3/2019",64,4,9,"Agrre",5,"R","AC","EN"
"129","7/3/2019",64,4,10,"Luppe",80,"R","AC","EN"
"130","7/3/2019",64,4,10,"Agrre",5,"R","AC","EN"
"131","7/3/2019",64,4,10,"Poapr",10,"R","AC","EN"
"132","7/3/2019",64,4,11,"Luppe",60,"N","AC","EN"
"133","7/3/2019",64,4,11,"Poapr",30,"R","AC","EN"
"134","7/3/2019",64,4,12,"Luppe",10,"N","AC","EN"
"135","7/3/2019",64,4,12,"Poapr",20,"R","AC","EN"
"136","7/3/2019",64,4,13,"Poapr",40,"R","AC","EN"
"137","7/3/2019",64,4,13,"Agrre",5,"R","AC","EN"
"138","7/3/2019",64,4,14,"Poapr",20,"R","AC","EN"
"139","7/3/2019",64,4,14,"Luppe",5,"N","AC","EN"
"140","7/3/2019",64,4,15,"Poapr",30,"R","AC","EN"
"141","7/3/2019",64,4,15,"Luppe",60,"N","AC","EN"
"142","7/3/2019",64,4,16,"Luppe",90,"R","AC","EN"
"143","7/3/2019",64,4,16,"Poapr",10,"R","AC","EN"
"144","7/3/2019",64,4,17,"Luppe",20,"N","AC","EN"
"145","7/3/2019",64,4,17,"Asctu",40,"R","AC","EN"
"146","7/3/2019",64,4,17,"Poapr",10,"R","AC","EN"
"147","7/3/2019",64,4,18,"Asctu",30,"R","AC","EN"
"148","7/3/2019",64,4,18,"Poapr",20,"R","AC","EN"
"149","7/3/2019",64,5,1,"Andge",80,"R","AC","EN"
"150","7/3/2019",64,5,1,"Schsc",50,"R","AC","EN"
"151","7/3/2019",64,5,2,"Andge",40,"R","AC","EN"
"152","7/3/2019",64,5,3,"Andge",100,"R","AC","EN"
"153","7/3/2019",64,5,3,"Poapr",5,"R","AC","EN"
"154","7/3/2019",64,5,4,"Andge",100,"R","AC","EN"
"155","7/3/2019",64,5,5,"Andge",100,"R","AC","EN"
"156","7/3/2019",64,5,6,"Andge",90,"R","AC","EN"
"157","7/3/2019",64,5,7,"Andge",70,"R","AC","EN"
"158","7/3/2019",64,5,8,"Poapr",10,"R","AC","EN"
"159","7/3/2019",64,5,8,"Andge",60,"R","AC","EN"
"160","7/3/2019",64,5,8,"Agrre",5,"R","AC","EN"
"161","7/3/2019",64,5,9,"Luppe",30,"N","AC","EN"
"162","7/3/2019",64,5,9,"Poapr",10,"R","AC","EN"
"163","7/3/2019",64,5,9,"Andge",40,"R","AC","EN"
"164","7/3/2019",64,5,10,"Luppe",50,"N","AC","EN"
"165","7/3/2019",64,5,10,"Agrre",10,"R","AC","EN"
"166","7/3/2019",64,5,10,"Poapr",10,"R","AC","EN"
"167","7/3/2019",64,5,11,"Luppe",30,"N","AC","EN"
"168","7/3/2019",64,5,11,"Agrre",10,"R","AC","EN"
"169","7/3/2019",64,5,11,"Poapr",20,"R","AC","EN"
"170","7/3/2019",64,5,12,"Agrre",5,"R","AC","EN"
"171","7/3/2019",64,5,12,"Poapr",20,"R","AC","EN"
"172","7/3/2019",64,5,13,"Agrre",20,"R","AC","EN"
"173","7/3/2019",64,5,13,"Poapr",20,"R","AC","EN"
"174","7/3/2019",64,5,14,"Agrre",20,"R","AC","EN"
"175","7/3/2019",64,5,15,"Luppe",80,"N","AC","EN"
"176","7/3/2019",64,5,15,"Agrre",10,"R","AC","EN"
"177","7/3/2019",64,5,15,"Poapr",20,"R","AC","EN"
"178","7/3/2019",64,5,16,"Luppe",90,"R","AC","EN"
"179","7/3/2019",64,5,16,"Poapr",10,"R","AC","EN"
"180","7/3/2019",64,5,17,"Luppe",40,"N","AC","EN"
"181","7/3/2019",64,5,17,"Poapr",20,"R","AC","EN"
"182","7/3/2019",64,5,17,"Asctu",10,"R","AC","EN"
"183","7/3/2019",64,5,18,"Agrre",5,"R","AC","EN"
"184","7/3/2019",64,5,18,"Poapr",40,"R","AC","EN"
"185","7/3/2019",64,6,1,"Andge",50,"R","AC","EN"
"186","7/3/2019",64,6,1,"Bougr",20,"R","AC","EN"
"187","7/3/2019",64,6,1,"Schsc",5,"R","AC","EN"
"188","7/3/2019",64,6,2,"Andge",70,"R","AC","EN"
"189","7/3/2019",64,6,2,"Poapr",5,"R","AC","EN"
"190","7/3/2019",64,6,3,"Andge",100,"R","AC","EN"
"191","7/3/2019",64,6,4,"Andge",100,"R","AC","EN"
"192","7/3/2019",64,6,5,"Andge",100,"R","AC","EN"
"193","7/3/2019",64,6,6,"Andge",100,"R","AC","EN"
"194","7/3/2019",64,6,6,"Poapr",5,"R","AC","EN"
"195","7/3/2019",64,6,7,"Andge",70,"R","AC","EN"
"196","7/3/2019",64,6,7,"Poapr",10,"R","AC","EN"
"197","7/3/2019",64,6,8,"Andge",40,"R","AC","EN"
"198","7/3/2019",64,6,8,"Agrre",10,"R","AC","EN"
"199","7/3/2019",64,6,8,"Poapr",20,"R","AC","EN"
"200","7/3/2019",64,6,9,"Agrre",10,"R","AC","EN"
"201","7/3/2019",64,6,9,"Poapr",20,"R","AC","EN"
"202","7/3/2019",64,6,10,"Agrre",30,"R","AC","EN"
"203","7/3/2019",64,6,10,"Poapr",20,"R","AC","EN"
"204","7/3/2019",64,6,11,"Agrre",20,"R","AC","EN"
"205","7/3/2019",64,6,11,"Poapr",30,"R","AC","EN"
"206","7/3/2019",64,6,12,"Agrre",10,"R","AC","EN"
"207","7/3/2019",64,6,12,"Poapr",20,"R","AC","EN"
"208","7/3/2019",64,6,13,"Poapr",10,"R","AC","EN"
"209","7/3/2019",64,6,14,"Poapr",30,"R","AC","EN"
"210","7/3/2019",64,6,14,"Agrre",10,"R","AC","EN"
"211","7/3/2019",64,6,14,"Luppe",10,"N","AC","EN"
"212","7/3/2019",64,6,15,"Luppe",60,"N","AC","EN"
"213","7/3/2019",64,6,15,"Poapr",30,"R","AC","EN"
"214","7/3/2019",64,6,15,"Asctu",5,"R","AC","EN"
"215","7/3/2019",64,6,16,"Luppe",40,"N","AC","EN"
"216","7/3/2019",64,6,16,"Poapr",30,"R","AC","EN"
"217","7/3/2019",64,6,17,"Poapr",50,"R","AC","EN"
"218","7/3/2019",64,6,18,"Agrre",10,"R","AC","EN"
"219","7/3/2019",64,6,18,"Poapr",40,"R","AC","EN"
"220","7/3/2019",64,7,1,"Andge",80,"R","AC","EN"
"221","7/3/2019",64,7,1,"Schsc",5,"R","AC","EN"
"222","7/3/2019",64,7,2,"Andge",90,"R","AC","EN"
"223","7/3/2019",64,7,3,"Andge",100,"R","AC","EN"
"224","7/3/2019",64,7,4,"Andge",100,"R","AC","EN"
"225","7/3/2019",64,7,4,"Agrre",5,"R","AC","EN"
"226","7/3/2019",64,7,5,"Andge",100,"R","AC","EN"
"227","7/3/2019",64,7,6,"Andge",90,"R","AC","EN"
"228","7/3/2019",64,7,6,"Agrre",5,"R","AC","EN"
"229","7/3/2019",64,7,7,"Andge",70,"R","AC","EN"
"230","7/3/2019",64,7,8,"Andge",40,"R","AC","EN"
"231","7/3/2019",64,7,8,"Agrre",20,"R","AC","EN"
"232","7/3/2019",64,7,8,"Poapr",10,"R","AC","EN"
"233","7/3/2019",64,7,9,"Agrre",20,"R","AC","EN"
"234","7/3/2019",64,7,9,"Poapr",10,"R","AC","EN"
"235","7/3/2019",64,7,10,"Agrre",20,"R","AC","EN"
"236","7/3/2019",64,7,10,"Poapr",10,"R","AC","EN"
"237","7/3/2019",64,7,11,"Agrre",10,"R","AC","EN"
"238","7/3/2019",64,7,11,"Poapr",20,"R","AC","EN"
"239","7/3/2019",64,7,12,"Agrre",20,"R","AC","EN"
"240","7/3/2019",64,7,12,"Poapr",20,"R","AC","EN"
"241","7/3/2019",64,7,13,"Broin",20,"R","AC","EN"
"242","7/3/2019",64,7,13,"Poapr",10,"R","AC","EN"
"243","7/3/2019",64,7,14,"Agrre",10,"R","AC","EN"
"244","7/3/2019",64,7,14,"Poapr",10,"R","AC","EN"
"245","7/3/2019",64,7,15,"Andge",10,"R","AC","EN"
"246","7/3/2019",64,7,15,"Poapr",30,"R","AC","EN"
"247","7/3/2019",64,7,15,"Agrre",5,"R","AC","EN"
"248","7/3/2019",64,7,16,"Poapr",40,"R","AC","EN"
"249","7/3/2019",64,7,17,"Poapr",50,"R","AC","EN"
"250","7/3/2019",64,7,18,"Poapr",70,"R","AC","EN"
"251","7/3/2019",64,8,1,"Andge",90,"R","AC","EN"
"252","7/3/2019",64,8,1,"Schsc",10,"R","AC","EN"
"253","7/3/2019",64,8,2,"Andge",70,"R","AC","EN"
"254","7/3/2019",64,8,2,"Solri",10,"R","AC","EN"
"255","7/3/2019",64,8,3,"Andge",90,"R","AC","EN"
"256","7/3/2019",64,8,3,"Solri",10,"N","AC","EN"
"257","7/3/2019",64,8,4,"Andge",100,"R","AC","EN"
"258","7/3/2019",64,8,5,"Andge",100,"R","AC","EN"
"259","7/3/2019",64,8,6,"Andge",80,"R","AC","EN"
"260","7/3/2019",64,8,7,"Agrre",10,"R","AC","EN"
"261","7/3/2019",64,8,7,"Andge",20,"R","AC","EN"
"262","7/3/2019",64,8,7,"Poapr",10,"R","AC","EN"
"263","7/3/2019",64,8,8,"Agrre",10,"R","AC","EN"
"264","7/3/2019",64,8,9,"Agrre",10,"R","AC","EN"
"265","7/3/2019",64,8,10,"Andge",100,"R","AC","EN"
"266","7/3/2019",64,8,10,"Poapr",5,"R","AC","EN"
"267","7/3/2019",64,8,11,"Andge",100,"R","AC","EN"
"268","7/3/2019",64,8,12,"Poapr",10,"R","AC","EN"
"269","7/3/2019",64,8,13,"Poapr",20,"R","AC","EN"
"270","7/3/2019",64,8,13,"Agrre",10,"R","AC","EN"
"271","7/3/2019",64,8,14,"Poapr",10,"R","AC","EN"
"272","7/3/2019",64,8,15,"Andge",40,"R","AC","EN"
"273","7/3/2019",64,8,15,"Agrre",10,"R","AC","EN"
"274","7/3/2019",64,8,15,"Poapr",15,"R","AC","EN"
"275","7/3/2019",64,8,16,"Andge",40,"R","AC","EN"
"276","7/3/2019",64,8,16,"Agrre",10,"R","AC","EN"
"277","7/3/2019",64,8,16,"Poapr",20,"R","AC","EN"
"278","7/3/2019",64,8,17,"Andge",30,"R","AC","EN"
"279","7/3/2019",64,8,17,"Poapr",50,"R","AC","EN"
"280","7/3/2019",64,8,18,"Poapr",40,"R","AC","EN"
"281","7/3/2019",64,9,2,"Schsc",10,"R","AC","EN"
"282","7/3/2019",64,9,3,"Andge",50,"R","AC","EN"
"283","7/3/2019",64,9,3,"Poapr",10,"R","AC","EN"
"284","7/3/2019",64,9,4,"Andge",90,"R","AC","EN"
"285","7/3/2019",64,9,5,"Andge",100,"R","AC","EN"
"286","7/3/2019",64,9,6,"Luppe",10,"N","AC","EN"
"287","7/3/2019",64,9,7,"Luppe",10,"N","AC","EN"
"288","7/3/2019",64,9,7,"Poapr",20,"R","AC","EN"
